,evento,ano,qualis
0,iv mostra de iniciacao cientifica da universidade de passo fundo,1994,-
1,iv forum nacional de ciencia e tecnologia em saude,1998,-
2,chicago 2000 - world congress of medical physics and biomedical engineering,2000,-
3,xvii congresso brasileiro de engenharia biomedica,2000,-
4,ii congresso latinoamericano de ingenieria biomedica,2001,-
5,xviii congresso brasileiro de engenharia biomedica,2002,-
6,iii mostra de iniciacao cientifica da universidade de passo fundo,1993,-
7,xii congreso argentino de bioingenieria,2001,-
8,vii semetro - seminario internacional de metrologia eletrica,2007,-
9,i congresso de computacao da grande dourados - ccgd,2008,-
10,ii encontro de iniciacao cientifica ufgd/uems e i encontro de pos-graduacao,2008,-
11,xxi congresso brasileiro de engenharia biomedica,2008,-
12,xi congresso brasileiro de informatica em saude,2008,-
13,xxvii simposio brasileiro de telecomunicacoes,2009,-
14,xxx congresso da sociedade brasileira de computacao,2010,-
15,xviii congresso brasileiro de automatica,2010,-
16,"encontro de ensino, pesquisa e extensao",2010,-
17,xxii congresso brasileiro de engenharia biomedica,2010,-
18,"enepe - encontro de ensino, pesquisa e extensao",2011,-
19,competicao brasileira de robotica 2011,2011,-
20,xxiii congresso brasileiro de engenharia biomedica,2012,-
21,latin american robotics competition,2012,-
22,conferencia ibero-americana em computacao aplicada (ciaca2013),2013,-
23,competicao brasileira de robotica 2013,2013,-
24,latin american robotics competition,2014,-
25,i simposio brasileiro de pecuaria de precisao aplicada a bovinocultura de corte,2014,-
26,frontiers in education 2015,2015,-
27,medinfo 2015 - 15th world congress on health and biomedical informatics,2015,-
28,latin american robotics competition,2016,-
29,conferencia iadis ibero americana em computacao aplicada,2016,-
30,xvii encontro de iniciacao cientifica da ufms,2016,-
31,conferencias iadis ibero-americanas www/internet 2017 e computacao aplicada 2017,2017,-
32,xvi latin american robotics competition and xv brazilian robotics competition,2017,-
33,xxii congresso brasileiro de automatica,2018,-
34,integra ufms,2018,-
35,xx workshop de tolerancia a falhas - wtf,2019,-
36,xxx simposio brasileiro de informatica na educacao (brazilian symposium on computers in education),2019,-
37,integra ufms,2019,-
38,integra ufms,2020,-
39,congresso brasileiro de automatica 2020,2020,-
40,2015 ieee 28th international symposium on computerbased medical systems (cbms),2015,-
